Data Source name,Date,Campaign,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Revenue (INR),Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Ad Creative Image Permalink URL,Ad Creative Video Permalink URL,Row Count,Ad Account ID,Ad Effective Status,Ad Preview Shareable Link,Ad set Effective Status,Campaign Objective,Campaign Result Type,Campaign Result value,Country,Ad Creative Thumbnail URL,Ad Creative Video Picture URL,Ad set Start Time,Campaign Start Time,Spend (INR),Clicks,ROAS,CTR
XYZ Luxury,2026-03-01,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,ACTIVE,Women | India | Purchase | Abandoned cart & lookalike | Purchase,Catalogue | Carousel All In Stock | | PLP | BAU,India,India,1142.96,1142.96,1176,11542,0.0,1002.0,1125.0,9,0.0,2.0,0.0,0.0,0.0,136850.0,0.0,12600.0,,,1,385541000000000.0,PAUSED,https://fb.me/1ZGcjzlID4ISU7C,PAUSED,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,0,IN,https://external-iad3-1.xx.fbcdn.net/emg1/v/t13/2084432432900960678?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJKXcPd6PRM-S2ngoPZuRC4BFSqtnXagn4KIiodnTd0Q68FgZFC1ODRxYNX3ZGZwTzlIQPx4YToeHbUeSTFuyRGRE1jmOx713fgRSU56iFhrEpT-979cWY4rji1fJy16qryZhsXVSIBnSDx-VQQJKFQ&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_oc=AdrNLkfH4o_iSGDMe6JxJBMms6k5pNRuKoq4gOY9TRH8AmbOecQihzbEEOIHUSIC4YM&ccb=13-1&oh=06_Q3-9Af8kbzee4H0oDWJAoXv7JaGcB3ZQ6XEwvFuiwoxe7WvO&oe=69CF60C9&_nc_sid=58080a,,2026-02-03 12:04:50+00:00,2025-08-14 08:34:59+00:00,1142.96,1176,0.0,10.188875411540462
XYZ Luxury,2026-03-01,Growfiy | Tof | Traffic | Canada + US,PAUSED,Brand Visibility | Canada & us cities,Existing Post | Sonam Bajwa | PLP,India,India,,151.12,371,9220,0.0,365.0,443.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,385541000000000.0,PAUSED,https://fb.me/24SXcD75SMIbwG5,PAUSED,OUTCOME_TRAFFIC,omni_landing_page_view,365,IN,https://external-iad3-1.xx.fbcdn.net/emg1/v/t13/11390316223617269261?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLbfuEVHjO_gpwVQnmm0mPB9LyRC9ZPJILTju6eyroXF5wnQsZYvgQKq0RIuj7YQEGAX00qZ6NshQI3L3GF0vZTI0pAuePb7kEBeeJ34bFtFQEmaIRVxOLtF_Cbk9OGHpwJ6SRaPqAFN_1zUOoHCEoC&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_oc=AdppbgFSw1VqRPML8Ecg7txSyqP7nhwzLvHzhNDSXSwy3f7kbRiQn9Y3Sx8fpXvJ4Fk&ccb=13-1&oh=06_Q3-9AfcPEhj4MjGzrK-EbsPvc1ekX2SxJqDKtNIVFWKQodhH&oe=69CF5D30&_nc_sid=58080a,,2025-06-18 08:07:01+00:00,2025-06-18 08:07:01+00:00,151.12,371,0.0,4.023861171366595
XYZ Luxury,2026-03-01,Growfiy | Tof | Traffic | Canada + US,PAUSED,Brand Visibility | Canada & us cities,Insta Existing Post | Testimonial | CLP,India,India,,778.89,2182,40931,0.0,1499.0,2097.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,385541000000000.0,PAUSED,https://fb.me/2bs5nGrI3DU44vE,PAUSED,OUTCOME_TRAFFIC,omni_landing_page_view,1499,IN,https://external-iad3-1.xx.fbcdn.net/emg1/v/t13/16474595412317744595?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIAjbupMVLVA1N8xXUBVnKx0IkRz-cc4AEDiE4liNwuZ0-A6cbUYN1WqtbUUerGQR4eVs-V4j-UAApdAaYzaxFv3-afG1hn691nba-kvmWVn2rAXUsim80nH8zzVFrpcLOSeiCZ4wJ6OxvFElpXVelb&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_oc=Adrmg85y_Rhj6DQg9nsbUf-OtglvHmoDP_BB9q_xImkzWLVBgsNZpThRRbp3kPDzUVM&ccb=13-1&oh=06_Q3-9Aa-unEP7DPS56JyMQ13lxVJCmUesq41xOnwn6eYsi8MC&oe=69CF7257&_nc_sid=58080a,,2025-06-18 08:07:01+00:00,2025-06-18 08:07:01+00:00,778.89,2182,0.0,5.3309227724707435
XYZ Luxury,2026-03-01,Growify | Engagement | India,PAUSED,Whatsapp | BOF,Custom | SI New arrivals,India,India,648.78,648.78,71,1693,0.0,1.0,72.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,https://www.facebook.com/ads/image/?d=AQJDQ-z6hFnU-H4z-0fEh-mOLhVRRL6i_RK-OrTcsw1Hc7JXpC4juEs0XOsUO6na7dAeaWzuXuggLtjy-WBNIZc1FOcvTkfkZbXcgiJfySQ0LI7JSNoMXdW_ZBNd946MGTqQ-Q7CX7p7LE8IvK0TdUmE,,1,385541000000000.0,PAUSED,https://fb.me/1SElCNvI27DEEbR,CAMPAIGN_PAUSED,OUTCOME_ENGAGEMENT,onsite_conversion.messaging_conversation_started_7d,4,IN,https://scontent-iad6-1.xx.fbcdn.net/v/t45.1600-4/600483406_2463252007406153_701759977846560583_n.jpg?_nc_cat=106&ccb=1-7&_nc_ohc=T9bPD0ns0RsQ7kNvwEEy_tV&_nc_oc=AdprwCCBWTbpoAzdMsedHZ4CTyFzRJQ-boyNh4DN-eS4Z1Bn9SYh0QQxLiZEyU0BMNA&_nc_zt=1&_nc_ht=scontent-iad6-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_tpa=Q5bMBQHv9mG6NLROaBdddfSbhIdw01cKWLjRGjTPWxgYHpK1e37oAH-i3vNBOTyKcHM4v9E_ISn8ujJV9A&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af2hMfMIpWA3pQh-gAM-zPRfmlsjH3Ph3onsnc7kwVT0Tw&oe=69D34365,,2025-12-17 18:59:19+00:00,2025-12-17 18:59:19+00:00,648.78,71,0.0,4.193738924985233
XYZ Luxury,2026-03-01,Growify | Engagement | India,PAUSED,Whatsapp | BOF,Custom | SI | Choker Set,India,India,257.209999,257.209999,8,779,0.0,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/ads/image/?d=AQL3A1yprIrV4-H34mEgWwypj2bC8ZP96eKu8nGFqIW82AbwiqDSA38yZHnMpM-mPTYNkPl3ll9cxx2fr1-RodJ8pnX8bPt6b8hwsLRs_8tBHG3n27cKr9Ky90e1XvqDwbCMU6HUBJWrC5R8gz-PoePh,,1,385541000000000.0,PAUSED,https://fb.me/20zpNU1s1S1cAJB,CAMPAIGN_PAUSED,OUTCOME_ENGAGEMENT,onsite_conversion.messaging_conversation_started_7d,0,IN,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/550491480_24219896911043220_2405350943849190641_n.png?_nc_cat=101&ccb=1-7&_nc_ohc=irQpyBJbX_QQ7kNvwFbBRD-&_nc_oc=AdqPXCk1ZJAYcE0-I-pN9CK8TWVBEc7CEy19n9zHwSeuDO8_dFYhfpTtNQd7F_O0f88&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_tpa=Q5bMBQG0UJPD2PieNULomcDdKwzocfJJTaxsTFc1WN0R90Q04FbJt1i54XE5tVbSIg0ngijqIOOAeCLSzA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af0qDZtsW6doffHPbT5aEPq0ZC2yBX4JgSCPAstL5g8KSA&oe=69D34E14,,2025-12-17 18:59:19+00:00,2025-12-17 18:59:19+00:00,257.209999,8,0.0,1.0269576379974326
XYZ Luxury,2026-03-01,Growify | Engagement | India,PAUSED,Whatsapp | BOF,Custom | SI | RTS,India,India,519.51,519.51,61,1312,0.0,0.0,61.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.facebook.com/ads/image/?d=AQImKQ0eGL5Mby8bUQAWPwOf2xs9Knxl1khYhfTmC-_SkE8KgUpAqwmTVWJS4mqMQkgl50u0eNN7hCJtwGUXaRqGMWYuofBDdbwdZxS_YrFZOL0zbkGMZ5YVUyo25WUcaCNYCgpWJYxIV-OlWd8dNSti,,1,385541000000000.0,CAMPAIGN_PAUSED,https://fb.me/2wBf9L4w1SvrTFK,CAMPAIGN_PAUSED,OUTCOME_ENGAGEMENT,onsite_conversion.messaging_conversation_started_7d,1,IN,https://scontent-iad6-1.xx.fbcdn.net/v/t45.1600-4/568447923_2410146512716703_5438516439599310414_n.jpg?_nc_cat=107&ccb=1-7&_nc_ohc=_16IzIrQ0QcQ7kNvwGiKSw7&_nc_oc=AdojLgm6m6xvLha2CAjhAOQ_8nCHkPRzNyNIouk1y-_3n6NUMB6bl8SW9prWgT1tip8&_nc_zt=1&_nc_ht=scontent-iad6-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_tpa=Q5bMBQG3vgzR29jv4jTIOm8rgIDXS9Q2iRB8W4UMSBa3VHAvCfx_nXS72cFNkRt_gDyTiJf2-JMPZl7yug&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af1dL07o-nkPQxFXI_DbAErGMPvcU5UdlmcRUYMqZAbtaw&oe=69D34E9E,,2025-12-17 18:59:19+00:00,2025-12-17 18:59:19+00:00,519.51,61,0.0,4.649390243902439
XYZ Luxury,2026-03-01,Growify | Engagement | India,PAUSED,Whatsapp | MOF-BOF,Custom | SI | New Arrival | PLP,India,India,308.0,308.0,67,2487,0.0,1.0,26.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,https://www.facebook.com/ads/image/?d=AQLpUN-Bp5H2b5oHD8mmITcVRBVxxlfQU-XkhcH6nkuKkR7d06NSZ9euJpuuSWdAeonqWskLpCNX4K58fC6pEK6dquSSdWJ4i28D1aMwm8hpaCO0yKJntx_E-P8AjTvq-UDmn0emeCT55r-C0BJFdOMZ,,1,385541000000000.0,CAMPAIGN_PAUSED,https://fb.me/27a4BkUEVdyCneR,CAMPAIGN_PAUSED,OUTCOME_ENGAGEMENT,onsite_conversion.messaging_conversation_started_7d,5,IN,https://scontent-iad6-1.xx.fbcdn.net/v/t45.1600-4/621830390_122110273659184571_8237587102569361158_n.jpg?_nc_cat=102&ccb=1-7&_nc_ohc=olhhczteMNkQ7kNvwG-8c34&_nc_oc=AdryN0cb6bnHuxCOClwoQ4KWrcWHVJiK01iAn0scYHTGzckzbMMVoRWMoA0ysCsA6Rw&_nc_zt=1&_nc_ht=scontent-iad6-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_tpa=Q5bMBQEqNSGcSzliGdI0V0hPtKRPgsYEME4c2IeeC8lo5ooSdkah-aXFcRno8MIL3vvUws9aBFWHelENOw&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af3Q-dooFQZp55ts_sigKYTU0wincOX9RsVbBfmBwtqQAw&oe=69D34AD6,,2026-02-23 06:47:56+00:00,2025-12-17 18:59:19+00:00,308.0,67,0.0,2.6940088459991958
XYZ Luxury,2026-03-01,Growify | Engagement | India,PAUSED,Whatsapp | MOF-BOF,Custom | SI | Sonam Bajwa,India,India,221.98,221.98,81,2457,0.0,1.0,54.0,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,https://www.facebook.com/ads/image/?d=AQJmsrhsRVkS5HmzVxl1gNQuCwpmxAHh30i9r6Uqd4mCj2y4nVR_M4P1POVDxSfkngNz-y8KoYO_EKfbNbMsWFZo9tCkarlIeCSsjqbhOVsE39JWaqPXJ29tfKK0BCtoKEe2p8c2dOhH5EMAK5bgsgEe,,1,385541000000000.0,CAMPAIGN_PAUSED,https://fb.me/2WLcW4J25ZzFK9t,CAMPAIGN_PAUSED,OUTCOME_ENGAGEMENT,onsite_conversion.messaging_conversation_started_7d,15,IN,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/627337653_122111155185184571_8845452688961892721_n.jpg?_nc_cat=108&ccb=1-7&_nc_ohc=-ancnAqpgOYQ7kNvwFC3kes&_nc_oc=AdoTAcypMWwLgIb4aRo4HSea_oeShtleHvcDLCcNllYGGdOey4WEEOdN-0IqEQmov1M&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_tpa=Q5bMBQH3YFrsZD-Ye9qTeGVvsuLFAeWDtiAROxfDnzh4MwYeia5fKGSVJkwUqH7IWbtsM5zmY_qhCYjufQ&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af3Ob5LSD83QzcqEm3Twm3oEBms0QB4-j_eaWK510ErQKQ&oe=69D348F1,,2026-02-23 06:47:56+00:00,2025-12-17 18:59:19+00:00,221.98,81,0.0,3.296703296703297
XYZ Luxury,2026-03-01,Growify | Engagement | India,PAUSED,Whatsapp | MOF-BOF,Custom | Video | New Arrival,India,India,362.9,362.9,77,4562,0.0,0.0,19.0,1,0.0,0.0,0.0,0.0,7.0,5250.0,0.0,0.0,,https://www.facebook.com/reel/4238478179739126/,1,385541000000000.0,CAMPAIGN_PAUSED,https://fb.me/20sQM1wH1NevQy2,CAMPAIGN_PAUSED,OUTCOME_ENGAGEMENT,onsite_conversion.messaging_conversation_started_7d,7,IN,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/634246339_889354407280217_3679991350847856020_n.jpg?_nc_cat=108&ccb=1-7&_nc_ohc=O1dNWN04rrgQ7kNvwEsrLzN&_nc_oc=Adr48EHDesrXikKT_5mOV6slwuIdiL9SLoqoHad866s4ng4uehKu1Qv9AX3SvdVjFrY&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hX6o4zFMze7YHVyu-PMmvQ&_nc_tpa=Q5bMBQGeT9N0CT5efk4c83vv06vaKMEIG9Cxdg4cKovnsIFdMo6ZKDy7M1tyLJZ76Y_0i55ZY0NNUTv-bQ&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=b696e2&_nc_sid=58080a&oh=00_Af2jO0PoAW05n17PS9NFvoz9emL5cYtu8gbYeUwYorZosw&oe=69D34886,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/634246339_889354407280217_3679991350847856020_n.jpg?stp=dst-jpg_s160x160_tt6&_nc_cat=108&ccb=1-7&_nc_sid=200999&_nc_ohc=O1dNWN04rrgQ7kNvwEsrLzN&_nc_oc=Adr48EHDesrXikKT_5mOV6slwuIdiL9SLoqoHad866s4ng4uehKu1Qv9AX3SvdVjFrY&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&edm=APRAPSkEAAAA&_nc_gid=P-fHjWgNLRQ1zxEz2Vbf4A&_nc_tpa=Q5bMBQGiN3OCVsgndMBnz2n6cSETs7vfOlc9MZ6Xd_eiBTOvsiNBaEB9wAi2YvPAyqM6brp8oXOxk1IAvw&oh=00_Af0Rm1eu0thmHNX6XcT4TplK9wt7pFxo0y2izl8baScyDg&oe=69D34886,2026-02-23 06:47:56+00:00,2025-12-17 18:59:19+00:00,362.9,77,0.0,1.6878562034195528
XYZ Luxury,2026-03-01,Growify | MOF & BOF | Sale | India +intl,ACTIVE,Ecomm | Mof + Bof & retargeting | INT,Catalog | Carousel | Campaign Shoot | Bestseller - Mix | No Collection | PDP,India,India,1478.42,1478.42,3962,63160,1.0,2897.0,3674.0,8,1.0,0.0,1.0,78300.0,0.0,72660.0,22050.0,0.0,,,1,385541000000000.0,ACTIVE,https://fb.me/1ZpBNIWdZonvgkr,ACTIVE,OUTCOME_SALES,offsite_conversion.fb_pixel_purchase,1,IN,https://external-iad3-1.xx.fbcdn.net/emg1/v/t13/11860141250130197427?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJ1kRQM_HciMWcqNrgvL7OL-0Ymx3chizXZm14V3v4GLaWri3gVPL2cIaoWNtofiz0R3ytwLWJINeoOV4BSd_IMaxStBzBNHfzhtCfc82aXmCMqGbIrqOKF3aSJgitCxzIJeWpf78_BAZCl4HVsXhDg&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=AAT1rw8EAAAA&_nc_gid=zq5EHOGZjpDhxdvwII7_ow&_nc_oc=Ado5d5RmW6gwNzO9WCqdIO6ERH9WtPDWQGpMcujUdXK7_Qmkffy2AEFM151THu1lgGQ&ccb=13-1&oh=06_Q3_CAWODPAoTRDEFvEYxaW3r8gqP0llrO6dBIqWQ3DatuB6q&oe=6A90C646&_nc_sid=58080a,,2025-01-30 06:08:45+00:00,2025-01-30 06:08:45+00:00,1478.42,3962,52.961945861122004,6.272957568081064
