Date,Data Source name,Campaign,Campaign Status,Cost (INR),Clicks,Impressions,CPC (INR),CTR,CPM (INR),Conversions,Conv. Value (INR),Geo Location Segment,Country Funnel,Country,CPC_Calculated,CTR_Calculated,CPM_Calculated
2026-03-01,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,0.0,2,2,0.0,1.0,0.0,0.0,0.0,India,India,India,0.0,1.0,0.0
2026-03-06,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,97.433475,21,37,4.639689,0.567568,2633.337162,0.0,0.0,India,India,India,4.639689285714286,0.5675675675675675,2633.3371621621623
2026-03-07,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,414.235773,38,67,10.900941,0.567164,6182.623478,0.0,0.0,India,India,India,10.900941394736842,0.5671641791044776,6182.623477611941
2026-03-08,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,248.294425,31,50,8.009498,0.62,4965.8885,0.0,0.0,India,India,India,8.009497580645162,0.62,4965.8885
2026-03-09,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,428.02695,47,67,9.106956,0.701493,6388.46194,0.0,0.0,India,India,India,9.106956382978723,0.7014925373134329,6388.461940298508
2026-03-10,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,410.271546,45,73,9.117145,0.616438,5620.158164,0.0,0.0,India,India,India,9.117145466666667,0.6164383561643836,5620.158164383562
2026-03-11,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,90.001495,45,70,2.000033,0.642857,1285.735643,0.0,0.0,India,India,India,2.000033222222222,0.6428571428571429,1285.735642857143
2026-03-12,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,145.47781,41,75,3.548239,0.546667,1939.704133,0.0,0.0,India,India,India,3.548239268292683,0.5466666666666666,1939.7041333333334
2026-03-13,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,34.463969,2,141,17.231985,0.014184,244.425312,0.0,0.0,Rest of the World,Canada,Canada,17.2319845,0.014184397163120567,244.4253120567376
2026-03-13,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,2.074435,1,101,2.074435,0.009901,20.53896,0.0,0.0,USA,United States,United States,2.074435,0.009900990099009901,20.538960396039602
2026-03-13,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,72.682209,73,1354,0.995647,0.053914,53.679623,0.0,0.0,India,India,India,0.995646698630137,0.05391432791728213,53.67962259970458
2026-03-13,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,103.928013,50,74,2.07856,0.675676,1404.432608,0.0,0.0,India,India,India,2.07856026,0.6756756756756757,1404.4326081081083
2026-03-14,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,304.214711,10,111,30.421471,0.09009,2740.673072,0.0,0.0,Rest of the World,Canada,Canada,30.4214711,0.09009009009009009,2740.6730720720725
2026-03-14,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,2924.926787,13,347,224.994368,0.037464,8429.183824,0.0,0.0,USA,United States,United States,224.99436823076923,0.037463976945244955,8429.183824207492
2026-03-14,XYZ Luxury,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,PAUSED,1898.810482,1230,16740,1.543748,0.073477,113.429539,0.0,0.0,India,India,India,1.5437483593495935,0.07347670250896057,113.42953894862605
2026-03-14,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,124.166534,22,44,5.643933,0.5,2821.966682,0.0,0.0,India,India,India,5.643933363636363,0.5,2821.9666818181818
2026-03-15,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,1130.917193,10,231,113.091719,0.04329,4895.745424,0.0,0.0,Rest of the World,Canada,Canada,113.0917193,0.04329004329004329,4895.745424242424
2026-03-15,XYZ Luxury,Growify | Sales | Shopping | US+Canada | DS,PAUSED,1236.870223,13,328,95.143863,0.039634,3770.945802,0.0,0.0,USA,United States,United States,95.1438633076923,0.039634146341463415,3770.945801829268
