Date,Total Sales (INR),Net Sales (INR),Orders
2026-03-01 00:00:00+00:00,84250.0,84250.0,2
2026-03-02 00:00:00+00:00,35896.74,35896.74,4
2026-03-03 00:00:00+00:00,36523.26,36523.26,3
2026-03-04 00:00:00+00:00,48873.7,48873.7,6
2026-03-05 00:00:00+00:00,33500.0,33500.0,3
2026-03-06 00:00:00+00:00,41555.7,41555.7,2
2026-03-07 00:00:00+00:00,82350.0,82350.0,4
2026-03-08 00:00:00+00:00,21639.17,20939.13,3
2026-03-09 00:00:00+00:00,8050.0,8050.0,1
2026-03-10 00:00:00+00:00,10350.0,10350.0,1
2026-03-11 00:00:00+00:00,30368.4,30368.4,4
2026-03-12 00:00:00+00:00,42519.5,42519.5,3
2026-03-13 00:00:00+00:00,34055.0,34055.0,2
2026-03-14 00:00:00+00:00,40292.38,38292.38,4
2026-03-15 00:00:00+00:00,61058.7,61058.7,6
2026-03-16 00:00:00+00:00,8050.0,8050.0,1
2026-03-17 00:00:00+00:00,3600.0,3050.85,1
2026-03-18 00:00:00+00:00,67888.68,67888.68,5
2026-03-19 00:00:00+00:00,3510.38,3510.38,1
2026-03-20 00:00:00+00:00,6300.0,6300.0,1
2026-03-21 00:00:00+00:00,34873.4,34873.4,4
2026-03-22 00:00:00+00:00,44569.5,43402.55,5
2026-03-23 00:00:00+00:00,39768.4,39768.4,4
2026-03-24 00:00:00+00:00,94350.0,89888.14,5
2026-03-25 00:00:00+00:00,61150.0,61150.0,4
2026-03-26 00:00:00+00:00,30700.0,30700.0,2
2026-03-28 00:00:00+00:00,15750.0,15750.0,1
2026-03-30 00:00:00+00:00,26550.0,26550.0,1
2026-03-31 00:00:00+00:00,139855.1,137452.56,8
2026-04-01 00:00:00+00:00,105705.0,102859.32,9
2026-04-02 00:00:00+00:00,206419.5,206419.5,12
2026-04-03 00:00:00+00:00,91300.0,88800.0,5
2026-04-04 00:00:00+00:00,24000.0,24000.0,1
2026-04-05 00:00:00+00:00,31150.0,31150.0,1
2026-04-06 00:00:00+00:00,81550.0,81550.0,9
2026-04-07 00:00:00+00:00,94850.0,94850.0,7
2026-04-08 00:00:00+00:00,81895.8,81074.77,7
2026-04-09 00:00:00+00:00,60387.6,58171.92,6
2026-04-10 00:00:00+00:00,33250.0,33250.0,3
2026-04-11 00:00:00+00:00,83545.0,81841.86,6
2026-04-12 00:00:00+00:00,84350.0,84350.0,8
2026-04-13 00:00:00+00:00,121462.6,120875.31,6
2026-04-14 00:00:00+00:00,197268.4,197268.4,13
2026-04-15 00:00:00+00:00,201509.6,196224.01,11
2026-04-16 00:00:00+00:00,30133.6,30133.6,4
2026-04-17 00:00:00+00:00,54590.1,53534.490001,5
2026-04-18 00:00:00+00:00,50141.07,50141.07,3
2026-04-19 00:00:00+00:00,39868.9,39868.9,4
2026-04-20 00:00:00+00:00,48918.4,48918.4,4
2026-04-21 00:00:00+00:00,52297.97,52297.97,3
2026-04-22 00:00:00+00:00,58800.0,58800.0,3
2026-04-23 00:00:00+00:00,3500.0,3500.0,1
2026-04-24 00:00:00+00:00,15463.279999999999,15463.279999999999,3
2026-04-25 00:00:00+00:00,48850.0,48850.0,4
2026-04-27 00:00:00+00:00,27420.0,24920.0,3
2026-04-29 00:00:00+00:00,24375.83,24375.83,2
2026-04-30 00:00:00+00:00,65900.0,65900.0,3
