Data Source name,Date,Currency,Sales Channel,Transaction Timestamp,Order Created At,Order Updated At,Order ID,Order Name,Country Funnel,Geo Location Segment,Billing Country,Billing Province,Billing City,Order Tags,Product ID,Product Title,Product Tags,Variant Title,Gross Sales (INR),Net Sales (INR),Total Sales (INR),Orders,Returns (INR),Return Rate,Items Sold,Items Returned,Average Order Value (INR),New Customer Orders,Returning Customer Orders,Average Items Per Order,Discounts (INR),Row Count,Shopify Traffic Source,Customer Sale Type,Customer ID,Shipping Country,Missing_Product_Info,Missing_Customer_ID
XYZ Luxury,2026-03-01 00:00:00+00:00,INR,Draft Orders,2026-03-01 09:20:18+00:00,2026-03-01 09:20:19+00:00,2026-03-02 09:09:35+00:00,6892290000000.0,#3270,India,India,India,Karnataka,Bangalore,,,,,,87000.0,78300.0,78300.0,1,0.0,0.0,2.0,,78300.0,1.0,,2.0,8700.0,2,,First-time,9149670000000.0,India,True,False
XYZ Luxury,2026-03-01 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-01 14:32:49+00:00,2026-03-01 14:32:49+00:00,2026-03-02 05:58:21+00:00,6893430000000.0,#3271,India,India,India,West Bengal,Rupnarayanpur,"Magic, upi",9419580000000.0,Paro Payal Pair,"16ak, sale-28",Default Title,5950.0,5950.0,5950.0,1,0.0,0.0,1.0,,5950.0,1.0,,1.0,0.0,1,,First-time,9150220000000.0,India,False,False
XYZ Luxury,2026-03-02 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-01 19:27:28+00:00,2026-03-01 19:27:28+00:00,2026-03-02 06:04:07+00:00,6894690000000.0,#3272,India,India,India,Punjab,Jalandhar,"Magic, upi",9418080000000.0,Nanki Hair Clips,,Default Title,9000.0,8100.0,8100.0,1,0.0,0.0,1.0,,8100.0,,1.0,1.0,900.0,1,,Returning,9040720000000.0,India,False,False
XYZ Luxury,2026-03-02 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-02 03:24:37+00:00,2026-03-02 03:24:37+00:00,2026-03-02 06:08:26+00:00,6896590000000.0,#3273,India,India,India,Punjab,Gurdaspur,,9474390000000.0,panna studs,"17f, sale-28",Default Title,4900.0,4900.0,4900.0,1,0.0,0.0,1.0,,4900.0,1.0,,1.0,0.0,1,,First-time,9145290000000.0,India,False,False
XYZ Luxury,2026-03-02 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-02 08:33:59+00:00,2026-03-02 08:33:59+00:00,2026-03-02 10:20:06+00:00,6897620000000.0,#3274,India,India,India,Punjab,Ludhiana,"Magic, upi",8149440000000.0,Rida Tikka,"desc addition, eoss_02jun, EOSS_jan26, hp_rts09may",Default Title,8500.0,7650.0,7650.0,1,0.0,0.0,1.0,,7650.0,1.0,,1.0,850.0,1,,First-time,9154590000000.0,India,False,False
XYZ Luxury,2026-03-02 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-02 15:23:40+00:00,2026-03-02 15:23:40+00:00,2026-03-03 10:11:02+00:00,6898040000000.0,#3275,India,India,India,Delhi,South,"card, Magic",9008520000000.0,Pali Pippal Patti Tikka,"eoss_02jun, EOSS_jan26",Default Title,16500.0,15246.74,15246.74,1,0.0,0.0,1.0,,15246.74,1.0,,1.0,1253.26,1,,First-time,9155140000000.0,India,False,False
XYZ Luxury,2026-03-03 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-02 22:09:01+00:00,2026-03-02 22:09:01+00:00,2026-03-02 22:09:17+00:00,6898670000000.0,#3276,India,India,India,Punjab,Amritsar,"card, Magic",8903800000000.0,Mughul Side Hair Clip,"eoss_02jun, EOSS_jan26, hp_rts09may",Default Title,9500.0,8873.26,8873.26,1,0.0,0.0,1.0,,8873.26,1.0,,1.0,626.74,1,,First-time,9153690000000.0,India,False,False
XYZ Luxury,2026-03-03 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-03 01:46:17+00:00,2026-03-03 01:46:17+00:00,2026-03-03 05:22:18+00:00,6898940000000.0,#3277,India,India,India,Maharashtra,Mumbai,"Magic, netbanking",9419420000000.0,Al-razi Openable Bangles Pair,"16ak, sale-28",02-Aug,7000.0,7000.0,7000.0,1,0.0,0.0,1.0,,7000.0,1.0,,1.0,0.0,1,,First-time,8426530000000.0,India,False,False
XYZ Luxury,2026-03-03 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-03 13:58:33+00:00,2026-03-03 13:58:33+00:00,2026-03-06 06:21:00+00:00,6899920000000.0,#3278,India,India,India,West Bengal,East Midnapore,"Magic, upi",9427520000000.0,Malerkotla Raani Haar Set,sale-28,Default Title,20650.0,20650.0,20650.0,1,0.0,0.0,1.0,,20650.0,1.0,,1.0,0.0,1,,First-time,9157230000000.0,India,False,False
XYZ Luxury,2026-03-04 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-04 00:45:53+00:00,2026-03-04 00:45:53+00:00,2026-03-06 05:22:21+00:00,6902750000000.0,#3279,India,India,India,Punjab,Malout,"Magic, upi",9419420000000.0,Al-razi Openable Bangles Pair,"16ak, sale-28",02-Apr,7000.0,7000.0,7000.0,1,0.0,0.0,1.0,,7000.0,,1.0,1.0,0.0,1,,Returning,8073450000000.0,India,False,False
XYZ Luxury,2026-03-04 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-04 05:20:26+00:00,2026-03-04 05:20:26+00:00,2026-03-06 05:29:23+00:00,6903830000000.0,#3280,India,India,India,Haryana,Panchkula,"Magic, upi",9478430000000.0,Areej Antique Pearl Set,"20-02, sale-28",Default Title,5250.0,5250.0,5250.0,1,0.0,0.0,1.0,,5250.0,1.0,,1.0,0.0,1,,First-time,9160200000000.0,India,False,False
XYZ Luxury,2026-03-04 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-04 08:16:25+00:00,2026-03-04 08:16:25+00:00,2026-03-05 07:23:46+00:00,6904350000000.0,#3281,India,India,India,Tamil Nadu,Coimbatore,"Magic, upi",9475460000000.0,Jhooley Earrings,"18-02, sale-28",Default Title,6300.0,6300.0,6300.0,1,0.0,0.0,1.0,,6300.0,1.0,,1.0,0.0,1,,First-time,9160590000000.0,India,False,False
XYZ Luxury,2026-03-04 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-04 10:23:30+00:00,2026-03-04 10:23:30+00:00,2026-03-04 10:23:45+00:00,6904450000000.0,#3282,India,India,India,Uttarakhand,Dehradun,"Magic, upi",8654730000000.0,Naseeb Earrings,"Bestseller_18sep, desc addition, eoss_02jun, EOSS_jan26, hp_rts09may",Default Title,13500.0,12150.0,12150.0,1,0.0,0.0,1.0,,12150.0,1.0,,1.0,1350.0,1,,First-time,9160750000000.0,India,False,False
XYZ Luxury,2026-03-04 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-04 14:50:06+00:00,2026-03-04 14:50:06+00:00,2026-03-06 05:45:11+00:00,6904950000000.0,#3283,India,India,India,Karnataka,Bengaluru,"card, Magic",9007120000000.0,Rubani Jadau Vaaliyaan,"3july-backup-dis, eoss_02jun, EOSS_jan26",Default Title,14500.0,13050.0,13050.0,1,0.0,0.0,1.0,,13050.0,1.0,,1.0,1450.0,1,,First-time,9161320000000.0,India,False,False
XYZ Luxury,2026-03-04 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-04 15:22:45+00:00,2026-03-04 15:22:45+00:00,2026-03-05 06:59:50+00:00,6905090000000.0,#3284,India,India,India,Delhi,West Delhi,"Magic, upi",8146230000000.0,Sanam antique Ring,"desc addition, eoss_02jun, EOSS_jan26",Default Title,5693.0,5123.7,5123.7,1,0.0,0.0,1.0,,5123.7,1.0,,1.0,569.3,1,,First-time,9161440000000.0,India,False,False
XYZ Luxury,2026-03-05 00:00:00+00:00,INR,XYZ Luxury - magic checkout,2026-03-04 19:11:10+00:00,2026-03-04 19:11:10+00:00,2026-03-06 05:59:53+00:00,6906010000000.0,#3285,India,India,India,West Bengal,Asansol,"Magic, upi",9478440000000.0,Mint Pink Tikka,"20-02, sale-28",Default Title,5600.0,5600.0,5600.0,1,0.0,0.0,1.0,,5600.0,1.0,,1.0,0.0,1,,First-time,9162410000000.0,India,False,False
