Date,Platform,Campaign,Spend (INR),Revenue (INR),Clicks,Impressions,Purchases,ROAS,CTR,CPC (INR),CPM (INR),Conversion Rate,AOV (INR)
2026-03-01,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,1142.96,0.0,1176,11542,0.0,0.0,10.188875411540462,0.9719047619047619,99.02616530930516,0.0,
2026-03-01,Facebook,Growfiy | Tof | Traffic | Canada + US,151.12,0.0,371,9220,0.0,0.0,4.023861171366595,0.4073315363881402,16.390455531453362,0.0,
2026-03-01,Facebook,Growfiy | Tof | Traffic | Canada + US,778.89,0.0,2182,40931,0.0,0.0,5.3309227724707435,0.35696150320806597,19.029342063472672,0.0,
2026-03-01,Facebook,Growify | Engagement | India,648.78,0.0,71,1693,0.0,0.0,4.193738924985233,9.13774647887324,383.2132309509746,0.0,
2026-03-01,Facebook,Growify | Engagement | India,257.209999,0.0,8,779,0.0,0.0,1.0269576379974326,32.151249875,330.17971630295244,0.0,
2026-03-01,Facebook,Growify | Engagement | India,519.51,0.0,61,1312,0.0,0.0,4.649390243902439,8.51655737704918,395.967987804878,0.0,
2026-03-01,Facebook,Growify | Engagement | India,308.0,0.0,67,2487,0.0,0.0,2.6940088459991958,4.597014925373134,123.84398874145556,0.0,
2026-03-01,Facebook,Growify | Engagement | India,221.98,0.0,81,2457,0.0,0.0,3.296703296703297,2.7404938271604937,90.34595034595034,0.0,
2026-03-01,Facebook,Growify | Engagement | India,362.9,0.0,77,4562,0.0,0.0,1.6878562034195528,4.712987012987012,79.54844366505918,0.0,
2026-03-01,Facebook,Growify | MOF & BOF | Sale | India +intl,1478.42,78300.0,3962,63160,1.0,52.961945861122004,6.272957568081064,0.37314992428066635,23.40753641545282,0.025239777889954566,78300.0
2026-03-01,Facebook,Growify | MOF & BOF | Sale | India +intl,1275.94,0.0,3020,36871,0.0,0.0,8.190718993246724,0.42249668874172186,34.605516530606714,0.0,
2026-03-01,Facebook,Growify | MOF | Sale | India,143.21,0.0,103,2102,0.0,0.0,4.900095147478592,1.3903883495145632,68.13035204567079,0.0,
2026-03-01,Facebook,Growify | MOF | Sale | India,849.75,0.0,3302,30242,0.0,0.0,10.918590040341247,0.2573440339188371,28.098340056874545,0.0,
2026-03-01,Facebook,Growify | MOF | Sale | India,285.82,0.0,3150,22488,0.0,0.0,14.007470651013874,0.09073650793650793,12.709889718961223,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,4.62,0.0,0,4,0.0,0.0,0.0,,1155.0,,
2026-03-01,Facebook,Growify | TOF | Sale | India,887.38,0.0,386,15969,0.0,0.0,2.4171832926294696,2.2989119170984456,55.56891477237147,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,3.24,0.0,3,61,0.0,0.0,4.918032786885246,1.08,53.11475409836066,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,1.82,0.0,8,58,0.0,0.0,13.793103448275861,0.2275,31.37931034482759,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,85.34,0.0,18,521,0.0,0.0,3.45489443378119,4.7411111111111115,163.8003838771593,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,4.86,0.0,18,235,0.0,0.0,7.659574468085106,0.27,20.680851063829788,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,108.9,0.0,106,1403,0.0,0.0,7.555238774055595,1.0273584905660378,77.61938702779759,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,1149.17,0.0,5614,42590,0.0,0.0,13.181498004226345,0.20469718560741007,26.98215543554825,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,0.02,0.0,0,1,0.0,0.0,0.0,,20.0,,
2026-03-01,Facebook,Growify | TOF | Sale | India,870.49,0.0,1104,10729,0.0,0.0,10.289868580482803,0.7884873188405798,81.13430888246808,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,862.66,0.0,39,1629,0.0,0.0,2.394106813996317,22.11948717948718,529.5641497851442,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,522.309999,0.0,37,2887,0.0,0.0,1.2816072047107723,14.116486459459457,180.91790751645303,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,2007.44,0.0,20050,151578,0.0,0.0,13.227513227513226,0.10012169576059851,13.243610550343718,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,3.36,0.0,0,7,0.0,0.0,0.0,,480.0,,
2026-03-01,Facebook,Growify | TOF | Sale | India,790.24,0.0,216,7576,0.0,0.0,2.851108764519535,3.6585185185185187,104.30834213305175,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | India,416.54,0.0,122,2617,0.0,0.0,4.661826518914788,3.414262295081967,159.1669850974398,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,429.02,0.0,24,300,0.0,0.0,8.0,17.875833333333333,1430.0666666666666,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,30.79,0.0,6,18,0.0,0.0,33.33333333333333,5.131666666666667,1710.5555555555557,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,1331.16792,0.0,142,1480,0.0,0.0,9.594594594594595,9.374421971830987,899.4377837837839,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,97.31208,0.0,5,55,0.0,0.0,9.090909090909092,19.462415999999997,1769.3105454545453,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,868.53,0.0,62,902,0.0,0.0,6.873614190687362,14.008548387096774,962.8935698447893,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,146.67,0.0,20,231,0.0,0.0,8.658008658008658,7.333499999999999,634.9350649350649,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,185.23,0.0,20,191,0.0,0.0,10.471204188481675,9.2615,969.7905759162303,0.0,
2026-03-01,Facebook,Growify | TOF | Sale | US,1.74,0.0,0,1,0.0,0.0,0.0,,1740.0,,
2026-03-01,Facebook,Growify | TOF | Sale | US,1.33,0.0,0,1,0.0,0.0,0.0,,1330.0,,
2026-03-01,Facebook,Growify | TOF | Sale | US,898.46,0.0,49,629,0.0,0.0,7.790143084260731,18.335918367346938,1428.3942766295706,0.0,
2026-03-02,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,957.58,0.0,474,7813,0.0,0.0,6.066811724049661,2.020210970464135,122.56239600665559,0.0,
2026-03-02,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,829.51,0.0,769,6290,0.0,0.0,12.225755166931638,1.0786866059817946,131.87758346581876,0.0,
2026-03-02,Facebook,Growfiy | Tof | Traffic | Canada + US,152.15,0.0,343,8426,0.0,0.0,4.07073344410159,0.4435860058309038,18.057203892713034,0.0,
2026-03-02,Facebook,Growfiy | Tof | Traffic | Canada + US,366.44,0.0,962,21082,0.0,0.0,4.563134427473674,0.3809147609147609,17.38165259463049,0.0,
2026-03-02,Facebook,Growify | Engagement | India,347.3,0.0,45,1057,0.0,0.0,4.257332071901608,7.717777777777778,328.57142857142856,0.0,
2026-03-02,Facebook,Growify | Engagement | India,368.44,0.0,10,1058,0.0,0.0,0.945179584120983,36.844,348.24196597353495,0.0,
2026-03-02,Facebook,Growify | Engagement | India,717.43,0.0,86,2071,0.0,0.0,4.152583293095123,8.34220930232558,346.4171897633993,0.0,
