Date,Platform,Campaign,Spend (INR),Revenue (INR),Clicks,Impressions,Purchases
2026-03-01,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,1142.96,0.0,1176,11542,0.0
2026-03-01,Facebook,Growfiy | Tof | Traffic | Canada + US,151.12,0.0,371,9220,0.0
2026-03-01,Facebook,Growfiy | Tof | Traffic | Canada + US,778.89,0.0,2182,40931,0.0
2026-03-01,Facebook,Growify | Engagement | India,648.78,0.0,71,1693,0.0
2026-03-01,Facebook,Growify | Engagement | India,257.209999,0.0,8,779,0.0
2026-03-01,Facebook,Growify | Engagement | India,519.51,0.0,61,1312,0.0
2026-03-01,Facebook,Growify | Engagement | India,308.0,0.0,67,2487,0.0
2026-03-01,Facebook,Growify | Engagement | India,221.98,0.0,81,2457,0.0
2026-03-01,Facebook,Growify | Engagement | India,362.9,0.0,77,4562,0.0
2026-03-01,Facebook,Growify | MOF & BOF | Sale | India +intl,1478.42,78300.0,3962,63160,1.0
2026-03-01,Facebook,Growify | MOF & BOF | Sale | India +intl,1275.94,0.0,3020,36871,0.0
2026-03-01,Facebook,Growify | MOF | Sale | India,143.21,0.0,103,2102,0.0
2026-03-01,Facebook,Growify | MOF | Sale | India,849.75,0.0,3302,30242,0.0
2026-03-01,Facebook,Growify | MOF | Sale | India,285.82,0.0,3150,22488,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,4.62,0.0,0,4,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,887.38,0.0,386,15969,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,3.24,0.0,3,61,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,1.82,0.0,8,58,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,85.34,0.0,18,521,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,4.86,0.0,18,235,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,108.9,0.0,106,1403,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,1149.17,0.0,5614,42590,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,0.02,0.0,0,1,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,870.49,0.0,1104,10729,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,862.66,0.0,39,1629,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,522.309999,0.0,37,2887,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,2007.44,0.0,20050,151578,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,3.36,0.0,0,7,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,790.24,0.0,216,7576,0.0
2026-03-01,Facebook,Growify | TOF | Sale | India,416.54,0.0,122,2617,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,429.02,0.0,24,300,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,30.79,0.0,6,18,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,1331.16792,0.0,142,1480,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,97.31208,0.0,5,55,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,868.53,0.0,62,902,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,146.67,0.0,20,231,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,185.23,0.0,20,191,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,1.74,0.0,0,1,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,1.33,0.0,0,1,0.0
2026-03-01,Facebook,Growify | TOF | Sale | US,898.46,0.0,49,629,0.0
2026-03-02,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,957.58,0.0,474,7813,0.0
2026-03-02,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,829.51,0.0,769,6290,0.0
2026-03-02,Facebook,Growfiy | Tof | Traffic | Canada + US,152.15,0.0,343,8426,0.0
2026-03-02,Facebook,Growfiy | Tof | Traffic | Canada + US,366.44,0.0,962,21082,0.0
2026-03-02,Facebook,Growify | Engagement | India,347.3,0.0,45,1057,0.0
2026-03-02,Facebook,Growify | Engagement | India,368.44,0.0,10,1058,0.0
2026-03-02,Facebook,Growify | Engagement | India,717.43,0.0,86,2071,0.0
2026-03-02,Facebook,Growify | Engagement | India,349.86,0.0,82,2950,0.0
2026-03-02,Facebook,Growify | Engagement | India,273.88,0.0,93,3501,0.0
2026-03-02,Facebook,Growify | Engagement | India,399.09,0.0,86,4765,0.0
2026-03-02,Facebook,Growify | MOF & BOF | Sale | India +intl,1284.6,0.0,5317,85866,0.0
2026-03-02,Facebook,Growify | MOF & BOF | Sale | India +intl,0.0,0.0,0,0,0.0
2026-03-02,Facebook,Growify | MOF & BOF | Sale | India +intl,1393.78,7650.0,4648,45477,1.0
2026-03-02,Facebook,Growify | MOF | Sale | India,124.72,0.0,300,3451,0.0
2026-03-02,Facebook,Growify | MOF | Sale | India,751.45,0.0,3759,30711,0.0
2026-03-02,Facebook,Growify | MOF | Sale | India,0.03,0.0,0,1,0.0
2026-03-02,Facebook,Growify | MOF | Sale | India,415.03,0.0,4370,30859,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,585.04,0.0,320,8489,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,0.63,0.0,0,23,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,1,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,85.22,0.0,15,486,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,0.02,0.0,0,1,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,0.06,0.0,0,5,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,77.38,0.0,278,2763,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,1138.9,0.0,8713,57766,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,1.5,0.0,1,6,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,852.67,0.0,1379,12801,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,173.31,0.0,191,3876,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,52.39,0.0,62,485,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,803.98,0.0,41,1339,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,230.66,0.0,14,950,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,2138.53,0.0,25195,169025,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,665.5,0.0,228,7565,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,1.02,0.0,0,2,0.0
2026-03-02,Facebook,Growify | TOF | Sale | India,486.36,13500.0,195,3205,1.0
2026-03-02,Facebook,Growify | TOF | Sale | India,498.65,45731.0,180,4243,1.0
2026-03-02,Facebook,Growify | TOF | Sale | India,813.55,0.0,609,12719,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,399.9,0.0,22,364,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,21.27,0.0,1,22,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,955.3,4900.0,61,937,1.0
2026-03-02,Facebook,Growify | TOF | Sale | US,75.8,0.0,3,41,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,377.32,0.0,37,373,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,381.72,0.0,45,568,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,244.27,0.0,30,236,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,24.82,0.0,3,19,0.0
2026-03-02,Facebook,Growify | TOF | Sale | US,809.89,0.0,49,557,0.0
2026-03-02,Facebook,Growify | TOF | Sales | India,402.66,0.0,2992,18266,0.0
2026-03-02,Facebook,Growify | TOF | Sales | India,139.54,0.0,887,5744,0.0
2026-03-03,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,1512.17,0.0,846,9036,0.0
2026-03-03,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,0.0,0.0,0,0,0.0
2026-03-03,Facebook,Growfiy | Tof | Traffic | Canada + US,0.0,0.0,0,0,0.0
2026-03-03,Facebook,Growify | Engagement | India,451.2,0.0,20,1595,0.0
2026-03-03,Facebook,Growify | Engagement | India,803.66,0.0,95,2309,0.0
2026-03-03,Facebook,Growify | Engagement | India,304.92,0.0,60,2346,0.0
2026-03-03,Facebook,Growify | Engagement | India,210.2,0.0,57,2426,0.0
2026-03-03,Facebook,Growify | Engagement | India,336.71,0.0,52,3310,0.0
2026-03-03,Facebook,Growify | MOF & BOF | Sale | India +intl,1357.85,0.0,5760,112000,0.0
2026-03-03,Facebook,Growify | MOF & BOF | Sale | India +intl,0.0,0.0,0,0,0.0
2026-03-03,Facebook,Growify | MOF & BOF | Sale | India +intl,1161.49,0.0,4273,40503,0.0
2026-03-03,Facebook,Growify | MOF | Sale | India,65.12,0.0,146,1856,0.0
2026-03-03,Facebook,Growify | MOF | Sale | India,265.66,0.0,1684,14729,0.0
2026-03-03,Facebook,Growify | MOF | Sale | India,413.31,0.0,4654,35096,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,510.01,0.0,254,6744,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,0.57,0.0,0,21,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,12.61,0.0,15,123,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,94.05,0.0,22,551,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,6.63,0.0,25,272,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,121.58,0.0,480,4294,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,8.65,0.0,0,6,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,797.52,0.0,2074,19116,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,547.74,0.0,448,8916,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,556.65,0.0,172,4213,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,73.36,0.0,8,127,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,1945.5,0.0,24002,164362,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,0.07,0.0,1,5,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,719.03,0.0,239,7549,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,5.73,0.0,0,16,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,432.74,0.0,160,3514,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,2366.27,0.0,2680,26442,0.0
2026-03-03,Facebook,Growify | TOF | Sale | India,1004.7,0.0,671,13696,0.0
2026-03-03,Facebook,Growify | TOF | Sale | US,543.59,0.0,26,320,0.0
2026-03-03,Facebook,Growify | TOF | Sale | US,19.26,0.0,1,8,0.0
2026-03-03,Facebook,Growify | TOF | Sale | US,1047.302469,0.0,87,891,0.0
2026-03-03,Facebook,Growify | TOF | Sale | US,78.977531,0.0,1,35,0.0
2026-03-03,Facebook,Growify | TOF | Sale | US,295.37,0.0,22,193,0.0
